"id_men","culture_label","superficie","production_kg"
468,"Arachide",6,3600
468,"Mais",0.25,188
468,"Mil",3.5,2000
468,"Sésame",0.25,44
469,"Arachide",2,800
469,"Mil",2,2500
470,"Arachide",0.1579,126.32
470,"Mais",0.4498,800
470,"Mil",1.6219,1200
471,"Arachide",2,1500
471,"Mil",1,1200
472,"Riz",0.5,750
473,"Mais",1,700
473,"Mil",1,400
474,"Arachide",2,1500
474,"Mais",1,300
474,"Mil",2,1000
475,"Arachide",2,500
475,"Mil",2,700
475,"Sorgho",3,900
476,"Arachide",0.25,100
476,"Sorgho",0.25,280
477,"Arachide",1,70
477,"Mil",1,410
477,"Sorgho",1,100
478,"Arachide",2,1300
478,"Mil",2,800
478,"Sorgho",2,750
478,"Sésame",2,600
